LANG_NAME	Comments	English	Français	Deutsch	Italiano	US
STR_LEVEL_SPACEMULTI	DON’T TRANSLATE	BUGU	BUGU	BUGU	BUGU	BUGU
STR_LEVEL_CITY1	DON’T TRANSLATE	BUGU	BUGU	BUGU	BUGU	BUGU
STR_LEVEL_CITY2	DON’T TRANSLATE	BUGU	BUGU	BUGU	BUGU	BUGU
STR_LEVEL_CITY3	DON’T TRANSLATE	BUGU	BUGU	BUGU	BUGU	BUGU
STR_LEVEL_CITYMULTI	Multiplayer level name	Dock Dash	Quaivalcade	Dockrennen	Inseguimento sul molo	Dock Dash
STR_LEVEL_SUB1	Level name	The Gold Mine	La mine d'or	Goldmine	La miniera d'oro	The Gold Mine
STR_LEVEL_SUB2	Level name	The Ant's Nest	La fourmilière	Ameisenstaat	Il formicaio	The Ant's Nest
STR_LEVEL_SUB3	Level name	Lava Palaver	Flots de lave	Lava-Palaver	Lava assassina	Lava Palaver
STR_LEVEL_SUBMULTI	DON’T TRANSLATE	BUGU	BUGU	BUGU	BUGU	BUGU
STR_LEVEL_LAB1	Level name	D15CO Lab	Labo D15CO	D15CO-Labor	Laboratorio D15CO	D15CO Lab
STR_LEVEL_LAB2	Level name	Research Facility	Centre d'études	Versuchslabor	Area top secret	Research Facility
STR_LEVEL_LAB3	Level name	Infernal Machine	Machine infernale	Höllenmaschine	Macchina infernale	Infernal Machine
STR_LEVEL_LABMULTI1	Multiplayer level name	Trail Blazer	Ouvrir la voie	Pfadfinder	Apripista	Trail Blazer
STR_LEVEL_LABMULTI2	Multiplayer level name	Cornered	Coincé	In der Falle	Messo all'angolo	Cornered
STR_LEVEL_LABMULTI3	Multiplayer level name	Boxed In	Bloqué	Eingeklemmt	Accerchiato	Boxed In
STR_LEVEL_HALL1	Level name	Graveyard Garden	Le cimetière	Friedhof	Il cimitero	Graveyard Garden
STR_LEVEL_HALL2	Level name	Haunted House	La maison hantée	Spukschloss	La casa infestata 	Haunted House
STR_LEVEL_HALLMULTI	DON’T TRANSLATE	BUGU	BUGU	BUGU	BUGU	BUGU
STR_LEVEL_SWAMPY1	DON’T TRANSLATE	BUGU	BUGU	BUGU	BUGU	BUGU
STR_LEVEL_SWAMPY2	DON’T TRANSLATE	BUGU	BUGU	BUGU	BUGU	BUGU
STR_LEVEL_SWAMPY3	Level name	Windup	Dernier petit tour	Hoch hinaus	Vortice finale	Windup
STR_LEVEL_SWAMPY4	Level name	Swampy's Lair	Dans l'antre de Swampy	Swampys Versteck	La tana di Swampy	Swampy's Lair
STR_LEVEL_RETRO1	Retro level name	Way Back When	Bon vieux temps	Anno dazumal	Come ai bei tempi	Way Back When
STR_LEVEL_RETRO2	Retro level name	Toad Road	Rue du crapaud	Kröten-Highway	La via dei rospi	Toad Road
STR_LEVEL_RETRO3	Retro level name	One Way	Contre-courant	Gegen den Strom	Senso unico	One Way
STR_LEVEL_RETRO4	Retro level name	Round The Bend!	Zigzags zinzin !	Um die Kurve!	Dietro la curva!	Round The Bend!
STR_LEVEL_RETRO5	Retro level name	Like Crocwork!	Ça roule !	Chrokologisch!	Croccorologio	Like Crocwork!
STR_LEVEL_RETRO6	Retro level name	Frog Jam	Embouteillage	Stammschwemme	Terrore sul fiume	Frog Jam
STR_LEVEL_RETRO7	Retro level name	Gridlock	Trafic chaotique	Verkehrschaos	Ingorgo	Gridlock
STR_LEVEL_RETRO8	Retro level name	Driven Back?	A contresens	Massenansturm	Contro corrente	Driven Back?
STR_LEVEL_RETRO9	Retro level name	Twister	Spirale	Twister	Filo da torcere	Twister
STR_LEVEL_RETRO10	Retro level name	Blockade	Blocus	Blockade	Assedio urbano	Blockade
STR_LEVEL_RETROMULTI1	Retro multiplayer level name	Way Back When	Bon vieux temps	Anno dazumal	Come ai vecchi tempi	Way Back When
STR_LEVEL_RETROMULTI2	Retro multiplayer level name	Toad Road	Rue du crapaud	Kröten- Highway	Il sentiero dei rospi	Toad Road
STR_LEVEL_RETROMULTI3	Retro multiplayer level name	Gridlock	Trafic chaotique	Verkehrs- chaos	Ingorgo	Gridlock
STR_FRONTEND_STATUS	Key/Function pair * 3	Cursors select   Enter confirm   Esc cancel	Touches de déplacement du curseur sélectionner   Entrée confirmer   Echap annuler	Cursor Auswählen   Eingabe Bestätigen  Esc Abbrechen	Tasti cursore per selezionare  Invio per confermare  Esc per annullare	Cursors select   Enter confirm   Esc cancel
STR_OPTIONS_MUSICVOLUME	Used when adjusting volume	Music Volume	Volume de la musique	Musiklautstärke	Volume musiche	Music Volume
STR_OPTIONS_SFXVOLUME	Used when adjusting volume	Sound Effect Volume	Volume des effets sonores	Geräuschlautstärke	Volume effetti sonori	Sound Effect Volume
STR_OPTIONS_PLAYTRACK	DON’T TRANSLATE	BUGU	BUGU	BUGU	BUGU	BUGU
STR_OPTIONS_PLAYSFX	DON’T TRANSLATE	BUGU	BUGU	BUGU	BUGU	BUGU
STR_OPTIONS_DESIGNVIEW	DON’T TRANSLATE	BUGU	BUGU	BUGU	BUGU	BUGU
STR_GAMEOVER	When game ends	Game Over	Fin de partie	Game Over 	Fine della partita	Game Over
STR_RESTARTLEVEL	Select this option to restart level	Restart Level	Recommencer le niveau	Level neu starten	Ricomincia livello	Restart Level
STR_QUIT	Select this option to quit level	Quit	Quitter	Beenden	Esci	Quit
STR_QUIT_TO_WINDOWS	Guess what!	Quit to Windows	Retour Windows	Zurück zu Windows	Esci su Windows	Quit to Windows
STR_RATING_BAD	DON’T TRANSLATE	BUGU	BUGU	BUGU	BUGU	BUGU
STR_RATING_OKAY	DON’T TRANSLATE	BUGU	BUGU	BUGU	BUGU	BUGU
STR_RATING_GOOD	DON’T TRANSLATE	BUGU	BUGU	BUGU	BUGU	BUGU
STR_RATING_FAB	DON’T TRANSLATE	BUGU	BUGU	BUGU	BUGU	BUGU
STR_PRESSSTART	Press start button to continue	Press Start Button	Appuie sur la touche START	Start drücken	Premi START	Press Start Button
STR_PRESSENTER	Press enter button to continue	Press Enter	Appuie sur la touche Entrée	Eingabe drücken	Premi Invio	Press Enter
STR_ARCADEMODE	Name of the location where you play levels	Frogger's Arcade	L'arcade Frogger	Froggers Arcade	Frogger Arcade	Frogger's Arcade
STR_STORYMODE	Name of the location where you go to play the Story Mode of the game	Swampy's Revenge	La vengeance de Swampy	Swampys Rache	La vendetta di Swampy	Swampy's Revenge
STR_MULTI_PLAYERWINS	%s = number of wins	%s wins!	%s l'emporte !	%s gewinnt!	%s vince!	%s wins!
STR_MULTI_WINMATCH	%s = Name of player who won match	%s wins the match!	%s remporte le match !	%s gewinnt das Spiel!	%s vince la partita!	%s wins the match!
STR_ENTERNAME	Asking you to enter your name	Enter your name	Entre ton nom	Gib deinen Namen ein	Digita il tuo nome	Enter your name
STR_MULTI_RACEDESC	Instruction for multiplayer	Beat the other players to the finish line!	Franchis la ligne d'arrivée avant tes concurrents !	Erreiche die Ziellinie vor allen anderen!	Batti gli altri giocatori tagliando per primo il traguardo!	Beat the other players to the finish line!
STR_MULTI_SNAKEDESC	Instruction for multiplayer	Collect the coins! Avoid the trails!	Ramasse les pièces ! Evite les chemins !	Sammle die Münzen ein! Meide die Wege!	Raccogli le monete! Evita i sentieri!	Collect the coins! Avoid the trails!
STR_MULTI_COLLECTDESC	Instruction for multiplayer	Save the babies before the other players!	Sauve les bébés avant tout le monde !	Rette die Babys als Erster!	Salva i cuccioli prima degli altri giocatori.	Save the babies before the other players!
STR_PLAYER	???????????	Player	Joueur	Spieler	Giocatore	Player
STR_PLAYERS	???????????	Players	joueurs	Spieler	giocatori	Player
STR_LEVELCOMPLETE	Displayed when level complteed	Level Complete!	Niveau terminé !	Level abgeschlossen!	Livello completato!	Level Complete!
STR_YOUTOOKTIMEMIN	Time taken to complete level	Time - %d:%02d.%d0	Temps - %d:%02d	Zeit - %d:%02d	Tempo - %d:%02d	Time - %d:%02d.%d0
STR_YOUTOOKTIMESEC	Seconds taken (note end 's')	You took %ds	Tu as mis %ds	Du hast %d Sek. gebraucht	Hai impiegato %d sec.	You took %ds
STR_TRAINING1	Instruction at start of level	Rescue 5 baby frogs to complete the level!	Sauve 5 bébés grenouilles pour terminer le niveau !	Rette 5 Froschbabys um den Level abzuschließen!	Per completare il livello devi salvare i 5 ranocchi!	Rescue 5 baby frogs to complete the level!
STR_TRAINING2	Provides information on how to control the Frog. Must be put to use shortly afterwards	Press @X to superhop over obstacles	Appuie sur @X pour franchir les obstacles d'un bond géant	Drücke @X um Hindernisse mit einem Supersprung zu überwinden	Premi @X per 'super-saltare' gli ostacoli.	Press @X to superhop over obstacles
STR_TRAINING3	Provides information on how to control the Frog. Must be put to use shortly afterwards	Press @C to slurp up bonuses with your tongue	Appuie sur @C pour saisir les bonus avec ta langue 	Drücke @C um mit der Zunge Bonusse zu schnappen	Premi @C per risucchiare i bonus.	Press @C to slurp up bonuses with your tongue
STR_TRAINING4	Provides information on how to control the Frog. Must be put to use shortly afterwards	Press @X - @X to double-jump over gaps	Appuie sur @X - @X pour faire des double-bonds au dessus du vide	Drücke @X - @X für einen Doppelsprung über eine Kluft	Premi @X - @X per saltare più lontano.	Press @X - @X to double-jump over gaps
STR_TRAINING5	Provides information on how to control the Frog. Must be put to use shortly afterwards	You can also double-jump to reach high places	Le double-bond te sert aussi à atteindre les endroits élevés 	Mit einem Doppelsprung kannst du auch große Höhen erklimmen	Il doppio salto ti sarà utile anche per arrivare più in alto.	You can also double-jump to reach high places
STR_TRAINING6	Provides information on how to control the Frog. Must be put to use shortly afterwards	Press @S to croak and find baby frogs	Appuie sur @S pour coasser et trouver les bébés grenouilles	Drücke @S um zu quaken und kleine Frösche aufzuspüren	Premi @S per gracidare e individuare i ranocchietti.	Press @S to croak and find baby frogs
STR_TRAINING7	Provides information on how to control the Frog. Must be put to use shortly afterwards	Hop onto a switch to activate it	Appuie sur un bouton en sautant dessus	Hüpfe auf einen Schalter um ihn zu aktivieren	Salta sopra l'interruttore per attivarlo.	Hop onto a switch to activate it
STR_TRAINING8	Provides information on how to control the Frog. Must be put to use shortly afterwards	Watch out for Frogger's enemies!	Prends garde aux ennemis de Frogger !	Hüte dich vor Froggers Feinden!	Attento ai nemici di Frogger!	Watch out for Frogger's enemies!
STR_CONTINUE	???????????????	Continue	Continuer	Fortfahren	Continua	Continue
STR_PRESS_X_TO_CONTINUE	Press a specific button to continue	Press @X to continue	Appuie sur @X pour continuer	Drücke @X um fortzufahren	Premi @X per continuare.	Press @X to continue
STR_LEVEL_TRAINING	Level name	Training	Entraînement	Training	Addestramento	Training
STR_OPTIONS_1	Select to access sound option	Sound Options	Options sonores	Soundoptionen	Opzioni sonoro	Sound Options
STR_OPTIONS_2	Select to access Extras menu which various bonus features	Extras	Bonus	Extras	Extra	Extras
STR_OPTIONS_3	Select to access Controls menu	Controls	Commandes	Steuerung	Controlli	Controls
STR_EXTRAS_1	Set difficulty	Difficulty: %s	Type de jeu : %s	Schwierigkeitsgrad: %s	Grado di difficoltà: %s	Difficulty: %s
STR_EXTRAS_2	Allows you to choose a video clip from the game to view	View Movie	Voir une séquence vidéo	Movie ansehen	Vedi filmato	View Movie
STR_EXTRAS_3	Select to view credits	Credits	Crédits	Mitwirkende	Ringraziamenti	Credits
STR_EXTRAS_4	Select to Reset you best times	Reset Best Times	Rétablir les records de temps	Bestzeiten neu einstellen	Ripristina i tempi migliori ai valori iniziali.	Reset Best Times
STR_EXTRAS_5	Select to reset your progress in story mode	Reset Story Mode	Rétablir le mode Histoire	Story-Modus neu einstellen	Ricomicia da capo la modalità 'Storia' .	Reset Story Mode
STR_EXTRAS_6	Toggles between on and off - makes you play with tiny frogs	Mini-frogs: %s	Grenouilles miniatures : %s	Mini-Frösche: %s	Mini-rane: %s	Mini-frogs: %s
STR_EXTRAS_7	Allows you to view design artwork	View Artwork	Voir la galerie d'art	Galerie besuchen	Vedi galleria grafica	View Artwork
STR_EXTRAS_8	Toggle between on and off - enables you to eat lots of bizarre things in the game - like bullrushes and lawnmowers	Feeding Frenzy: %s	Appétit d'ogre : %s	Fress-Flash: %s	Delirio bulimico: %s	Feeding Frenzy: %s
STR_MULTIPLAYER	Title for the Multiplayer section of the game	Multiplayer	Multijoueurs	Multiplayer	Multigiocatore	Multiplayer
STR_SELECT_NUM_PLAYERS	Here you are selecting number of players	 @X - Select number of players 	 @X - Sélectionner un nombre de joueurs	 @X - Wähle die Anzahl der Spieler aus	 @X - Seleziona il numero dei giocatori	 @X - Select number of players 
STR_SELECT_LEVEL	Here you are selecting the level to play on	 @X - Select level 	 @X - Sélectionner un niveau	 @X - Wähle einen Level	 @X - Seleziona il livello	 @X - Select level 
STR_SELECT_CHAR	This is the title to the Select Character section	select character	Choisir personnage	Charakter wählen	Che personaggio?	select character
STR_X_SELECT_CHAR	Press specific button to select the character highlighted	 @X - Select character 	 @X - Sélectionner un personnage	 @X - Charakterauswahl	 @X - Seleziona il personaggio	 @X - Select character 
STR_CHAPTER_1a	Chapter name - this is line 1	Baby Frog	Au secours des	Froschbaby-	Salva i	Baby Frog
STR_CHAPTER_1b	this is line 2	Rescue	bébés grenouilles	Rettungsaktion	ranocchietti	Rescue
STR_CHAPTER_2a	Chapter name - this is line 1	Separate Ways	Bifurcations	Getrennte Wege	Strade separate	Separate Ways
STR_CHAPTER_2b	this is line 2					
STR_CHAPTER_3a	Chapter name - this is line 1	Crocs Away!	Croc'au diable !	"Auf die Plätze,"	"Coccodrilli, fuori!"	Crocs Away!
STR_CHAPTER_3b	this is line 2			"fertig, Frosch!"		
STR_CHAPTER_4a	Chapter name - this is line 1	Big Bad Bugs	Gare aux	Fiese Viecher	Brutte bestiaccie	Big Bad Bugs
STR_CHAPTER_4b	this is line 2		bestioles			
STR_CHAPTER_5a	Chapter name - this is line 1	Toad Breaker	Décrapautisation	Kröten-Killer	L'ammazza anfibi	Toad Breaker
STR_CHAPTER_5b	this is line 2					
STR_CHAPTER_6a	Chapter name - this is line 1	Frogs In Space	Grenouilles	Weltraumfrösche	Rane nello spazio	Frogs In Space
STR_CHAPTER_6b	this is line 2		en orbite			
STR_CHAPTER_7a	Chapter name - this is line 1	Swampy's	La vengeance de 	Swampys	La vendetta 	Swampy's
STR_CHAPTER_7b	this is line 2	Revenge	Swampy	Rache	di Swampy	Revenge
STR_CHAPTER_8a	Chapter name - this is line 1	Trail Of Terror	Les sentiers	Pfad der	Tracce di terrore	Trail Of Terror
STR_CHAPTER_8b	this is line 2		de la peur	Vergeltung		
STR_CHAPTER_9a	Chapter name - this is line 1	Swampy's 	Dans l'antre de	Swampys 	Nella tana	Swampy's 
STR_CHAPTER_9b	this is line 2	Lair	Swampy	Versteck	di Swampy	Lair
STR_CHAPTER_10a	Chapter name - this is line 1	"The Good, the Tad"	"Le Bon, le Bambin"	Zwei glorreiche	"Il buono, il brutto"	"The Good, the Tad"
STR_CHAPTER_10b	this is line 2	and the Ugly	et le Truand	Hal-Unken	e il ranocchio	and the Ugly
STR_PAR	This is the record time for a level	Best	Moyenne	Rekord	Record	Best
STR_SET_BY	The best time was Set By <name>	Set by	Auteur	Durch	Di	Set by
STR_COINS	Number next to it says how many coins you collected	Coins	Pièces	Münzen	Monete	Coins
STR_CHAPTER	Its Chapter <number>	Chapter %d	Chapitre %d	Kapitel %d	Capitolo %d	Chapter %d
STR_GOT_ALL_COINS	If you collect all coins at the end of a level	All coins collected!	Pièces sont toutes réunies !	Alle Münzen eingesammelt!	Hai raccolto tutte le monete!	All coins collected!
STR_MISSED_COINS	%d = the number of coins you missed	Coins missed: %d	Pièces manquées : %d	Verpasste Münzen: %d	Monete mancanti: %d	Coins missed: %d
STR_NO_BONUS	If you didn't collect all of the coins you don't get a bonus at the end of the level	No bonus for you!	Tu n'as pas droit à un bonus !	Du kriegst keinen Bonus!	Non hai ottenuto il bonus!	No bonus for you!
STR_COLLECTBABIES	Instruction - you need to collect the babies to win a level	Rescue the babies!	Réunis les bébés !	Sammle die Babys ein!	Raccogli i cuccioli!	Rescue the babies!
STR_GO	Instruction to the players when a multiplayer level starts	Go!	Vas-y !	Los!	Partenza!	Go!
STR_ROUND_NUM	You challenge each other a number of times in multiplayer - this is the round - %d = the round number	Round %d	Tour %d	Runde %d	Turno %d	Round %d
STR_MULTI_DRAW	If two or more players tie in a multiplayer game	Round Draw	Egalité 	Unentschieden	Pareggio 	Round Draw
STR_OUTOFTIME	"If you run out of time on a level (you don't die though, just miss a high score)"	Out of Time!	Temps écoulé !	Zeit abgelaufen!	Tempo scaduto!	Out of Time!
STR_ENTER_NAME	You enter you name to the right on this	Enter name:    	Entre ton nom :    	Namen eingeben:    	Digita il nome:    	Enter name:    
STR_NEW_BEST_TIME	If you get a new best time on a level	New best time!	Nouveau temps record !	Neue Bestzeit!	Nuovo miglior tempo!	New best time!
STR_FMV_1	Name of a video clip - select this to play the video	Intro	Intro	Intro	Intro	Intro
STR_FMV_2	Name of a video clip - select this to play the video	Victory!	Victoire !	Sieg!	Vittoria!	Victory!
STR_OPENED_EXTRA_1	%d = one of STR_LEVEL_RETROX above - an extra level is openned	Opened '%s'!	Ouverture de %s!	%s offen!	Hai aperto %s!	Opened '%s'!
STR_OPENED_EXTRA_10	Bonus that you earn - Treeby is another frog for multiplayer use	Wart available!	Wart est disponible !	Wart verfügbar!	Hai ottenuto Wart!	Wart available!
STR_OPENED_EXTRA_11	Bonus that you earn - Wart is a toad for multiplayer use	Tank available!	Tank est disponible !	Tank verfügbar!	Hai ottenuto Tank!	Tank available!
STR_OPENED_EXTRA_12	Bonus that you earn - Roobie is a kangeroo for multiplayer use	Roobie available!	Roobie est disponible !	Roobie verfügbar!	Hai ottenuto Roobie!	Roobie available!
STR_OPENED_EXTRA_13	Bonus that you earn - Tank is a metalic frog for multiplayer use	Swampy available!	Swampy est disponible !	Swampy verfügbar!	Hai ottenuto Swampy! 	Swampy available!
STR_OPENED_EXTRA_14	Bonuse that you earn. Lets you play with tiny versions of the characters	Mini-frogs available!	Mini-grenouilles disponibles !	Mini-Frösche verfügbar!	Hai ottenuto le mini-rane!	Mini-frogs available!
STR_OPENED_EXTRA_15	Bonus that you earn. Look at artwork from the game	Artwork viewer available!	Accès à galerie d'art ouvert !	Galerie verfügbar!	Puoi vedere la galleria grafica!	Artwork viewer available!
STR_OPENED_EXTRA_16	Bonus that you earn. Lets you use your tongue to eat a variety of things from the levels	Feeding frenzy available!	Appétit d'ogre disponible !	Fress-Flash verfügbar!	Hai ottenuto delirio bulimico!	Feeding frenzy available!
STR_EXTRA_LIFE	Just eaten a butterfly and got an extra life	Extra Life!	Vie supplémentaire !	Extra Leben!	Vita extra!	Extra Life!
STR_QUICK_HOP	Just eaten a butterfly and can now hop more quickly for a while	Quick Hop!	Bond rapide !	Schneller Hüpfer!	Salto veloce!	Quick Hop!
STR_SLOW_HOP	Just eaten a butterfly but now hop more slowly than before for a while	Slow Hop!	Bond lent !	Langsamer Hüpfer!	Salto lento!	Slow Hop!
STR_AUTO_HOP	Just eaten a butterfly and now will hop automatically if you hold a direction	Auto Hop!	Bond automatique !	Auto-Hüpfer!	Salto automatico!	Auto Hop!
STR_INVULNERABILITY	Special cheat that makes you invulnerable to injury	Invulnerability!	Invulnérabilité !	Unverwundbarkeit!	Invulnerabilità!	Invulnerability!
STR_ON	"Used when a cheat below is ""on"""	On	Oui	Ein	Attivato	On
STR_OFF	"Used when a cheat below is ""off"""	Off	Non	Aus	Disattivato	Off
STR_CHEAT_1	Cheat - open all levels if on	Level access	Accès à tous les niveaux	Zugang zu allen Levels	Accesso ai livelli	Level access
STR_CHEAT_2	Cheat - infinitive lives if on	Infinite Lives	Vies illimitées	Unbegrenzte Leben	Vite infinite	Infinite Lives
STR_CHEAT_3	Cheat - use all characters in the game	Character access	Accès personnages	Alle Charaktere	Accesso ai personaggi	Character access
STR_CHEAT_4	"Cheat - open up all ""Extras"" - like art work viewer"	Extras access	Accès à tous les bonus	Zugang zu allen Extras	Accesso agli extra	Extras access
STR_CHEAT_5	Cheat - frogger can't be hurt	Invulnerability	Invulnérabilité  	Unverwundbarkeit	Invulnerabilità	Invulnerability
STR_CHEAT_6	Cheat - skip to the next level	Skip Level	Sauter un niveau	Level überspringen	Salta livello	Skip Level
STR_CHEAT_7		Mad Garibs	Mad Garibs	Mad Garibs	Mad Garibs	Mad Garibs
STR_TRIANGLE_BACK	Help text to say press button to go back to previous menu	Press @T to go back	Retour menu précédent : @T	Drücke @T um zurückzugehen	Premi @T per tornare indietro.	Press @T to go back
STR_RETURN	Refers to the 'return' button	Return	Retour	Eingabe	Indietro	Return
STR_RIGHT_CONTROL	refers to 'right control' button	Right Control	Ctrl droit	Steuerung rechts	Ctrl destro	Right Control
STR_RIGHT_SHIFT	refers to 'right shift' button	Right Shift	Maj droit	Umschalt rechts	Maiusc destro	Right Shift
STR_ESCAPE	refers to 'escape' button	Escape	Echap	Escape	Esc	Escape
STR_ARE_YOU_SURE	"Question, followed by yes and no"	Are you sure?	Es-tu sûr(e) ?	Bist du sicher?	Sei sicuro?	Are you sure?
STR_YES	Selectable choice to 'are you sure?'	Yes	Oui	Ja	Sì	Yes
STR_NO_BONUS	Selectable choice to 'are you sure?'	No	Non	Nein	No	No
STR_MCARD_CANCELSAVE		Cancel save	Annuler sauvegarde 	Speichern abbrechen	Cancella salvataggio	Cancel save
STR_MCARD_SELECTSAVE		Select save	Sélectionner sauvegarde	Speichern wählen 	Seleziona salvataggio	Select save
STR_MCARD_SAVEYN	Option you may select by pressing a button	Save progress to VMU in port %s?	Veux-tu sauvegarder ta progression sur la MEMORY CARD (Carte Mémoire) dans la fente pour MEMORY CARD (Carte Mémoire) N°%s ?	Spielstand auf MEMORY CARD in MEMORY CARD Steckplatz %s speichern?	Salvare la situazione di gioco sulla MEMORY CARD nell'ingresso MEMORY CARD %s?	Save progress to VMU in port %s?
STR_MCARD_SAVEGAME	Option you may select by pressing a button	Save game	Sauvegarder la partie	Spiel speichern	Salva il gioco	Save game
STR_MCARD_NOSAVE	Option you may select by pressing a button	Continue without saving	Continuer sans sauvegarder	Fortfahren ohne zu speichern	Continua senza salvare	Continue without saving
STR_MCARD_FULL	Warning message	VMU in port %s must have at least 7 free blocks.	La MEMORY CARD (Carte Mémoire) dans la fente pour MEMORY CARD (Carte Mémoire) N°%s est pleine. Insère une MEMORY CARD (Carte Mémoire) avec au moins un bloc libre.	Die MEMORY CARD in MEMORY CARD Steckplatz %s ist voll. Eine MEMORY CARD mit mindestens einem freien Block einlegen.	MEMORY CARD nell'ingresso MEMORY CARD %s piena. Inserire una MEMORY CARD con almeno un blocco libero.	VMU in port %s must have at least 7 free blocks.
STR_MCARD_RETRYSAVE	Option you may select by pressing a button	Retry save	Retenter la sauvegarde	Speichern erneut versuchen	Ritenta il salvataggio	Retry save
STR_MCARD_NOCARD	Warning message	No VMU detected. Insert a VMU with at least 7 free blocks into expansion port %s	Pas de MEMORY CARD (Carte Mémoire) insérée dans la fente pour MEMORY CARD (Carte Mémoire) N°%s.	Keine MEMORY CARD in MEMORY CARD Steckplatz %s.	Nessuna MEMORY CARD inserita nell'ingresso MEMORY CARD %s	No VMU detected. Insert a VMU with at least 7 free blocks into expansion port %s
STR_MCARD_CHECK	Warning message	Accessing VMU in port %s.  Do not remove VMU or reset the console.	Lecture de la MEMORY CARD (Carte Mémoire) dans la fente pour MEMORY CARD (Carte Mémoire) N°%s en cours. Ne retire pas la MEMORY CARD (Carte Mémoire) et n'appuie pas sur la touche RESET.	Zugriff auf MEMORY CARD in MEMORY CARD Steckplatz %s. MEMORY CARD nicht entfernen und RESET-Taste nicht betätigen.	Accesso MEMORY CARD nell'ingresso MEMORY CARD %s. Non rimuovere la MEMORY CARD o riavviare la console!	Accessing VMU in port %s.  Do not remove VMU or reset the console.
STR_MCARD_OVERWRITE	Option you may select by pressing a button	Overwrite existing Frogger 2 saved game?	Veux-tu écraser la sauvegarde existante de Frogger 2 ?	Soll das gespeicherte Frogger 2-Spiel überschrieben werden?	Sovrascrivere i salvataggi esistenti di Frogger 2?	Overwrite existing Frogger 2 saved game?
STR_MCARD_PREVIOUS	Option you may select by pressing a button	Previous menu	Menu précédent	Vorheriges Menü	Menu precedente	Previous menu
STR_MCARD_SAVING	Warning message	Saving Frogger 2. Please do not remove the VMU or reset the console while saving	Sauvegarde de Frogger 2 en cours. Ne retire pas la MEMORY CARD (Carte Mémoire) et n'appuie pas sur la touche RESET pendant la sauvegarde.	Frogger 2 wird gespeichert. MEMORY CARD während des Speichervorgangs bitte nicht entfernen und RESET-Taste nicht betätigen.	Salvataggio dati di Frogger 2. Non rimuovere la MEMORY CARD o riavviare la console durante il salvataggio!	Saving Frogger 2. Please do not remove the VMU or reset the console while saving
STR_MCARD_AUTOSAVING	Warning message	Autosaving - please do not remove the VMU or reset the console while saving	Sauvegarde automatique en cours. Ne retire pas la MEMORY CARD (Carte Mémoire) et n'appuie pas sur la touche RESET pendant la sauvegarde.	Automatischer Speichervorgang - MEMORY CARD während dieses Vorgangs bitte nicht entfernen und RESET-Taste nicht betätigen.	Autosalvataggio dati: non rimuovere la MEMORY CARD o riavviare la console durante il salvataggio!	Autosaving - please do not remove the VMU or reset the console while saving
